page_id,url,title,page_type,category,avg_views,avg_edits,words,creation_year,description
70135,en.wikipedia.org/wiki/Twenty-fifth_Amendment_to_the_United_States_Constitution,Twenty-fifth_Amendment_to_the_United_States_Constitution,other,history and geography,110375,15,3124,2001,amendment to the United States Constitution dealing with issues related to presidential succession and disability
35436254,en.wikipedia.org/wiki/Game_of_Thrones_(season_3),Game_of_Thrones_(season_3),other,"arts, culture and entertainment",95122,8,1617,2012,third season of the fantasy drama television series Game of Thrones
23453940,en.wikipedia.org/wiki/John_J._Pershing,John_J._Pershing,biography,history and geography,53309,14,7303,2002,United States Army general in World War I
48677723,en.wikipedia.org/wiki/Bhumi_Pednekar,Bhumi_Pednekar,biography,"arts, culture and entertainment",81814,15,1253,2015,Indian actress
2508240,en.wikipedia.org/wiki/Jay_Thomas,Jay_Thomas,biography,"arts, culture and entertainment",22499,3,953,2005,"actor, radio talk show host, businessman"
373860,en.wikipedia.org/wiki/Antifa,Antifa,other,history and geography,38694,5,5,2003,Wikimedia disambiguation page
935492,en.wikipedia.org/wiki/Jerome_Flynn,Jerome_Flynn,biography,"arts, culture and entertainment",79793,3,937,2004,English actor and singer
167247,en.wikipedia.org/wiki/Robert_Hardy,Robert_Hardy,biography,other,22328,5,1172,2003,British actor (1925-2017)
14538175,en.wikipedia.org/wiki/Vasyl_Lomachenko,Vasyl_Lomachenko,biography,sport,125176,21,6558,2007,Ukrainian professional boxer
4829129,en.wikipedia.org/wiki/America's_Got_Talent,America's_Got_Talent,other,"arts, culture and entertainment",161041,47,7423,2006,televised American talent show competition
19481110,en.wikipedia.org/wiki/Jim_Crow_laws,Jim_Crow_laws,other,history and geography,228605,5,4952,2001,state and local laws enforcing racial segregation in the Southern United States
242683,en.wikipedia.org/wiki/Ozarks,Ozarks,other,history and geography,85701,7,4545,2003,highland region in central-southern United States
26408430,en.wikipedia.org/wiki/Alex_Oxlade-Chamberlain,Alex_Oxlade-Chamberlain,biography,sport,66332,24,2563,2010,English association football player (born 1993)
48711857,en.wikipedia.org/wiki/Kylian_Mbappé,Kylian_Mbappé,biography,sport,302237,39,4070,2015,French association football player
42198936,en.wikipedia.org/wiki/Shawn_Mendes,Shawn_Mendes,biography,"arts, culture and entertainment",342722,22,3939,2014,Canadian singer-songwriter and model
208580,en.wikipedia.org/wiki/Priscilla_Presley,Priscilla_Presley,biography,other,208447,8,3857,2003,American actress and businesswoman and former wife of Elvis Presley
6848268,en.wikipedia.org/wiki/Game_Boy_accessories,Game_Boy_accessories,other,internet and game,7914,1,3488,2006,Wikimedia list article
